basomrade,year,cumulative_immigration_surplus,gender
1140240_rodaberget,2006,61,both
1140240_rodaberget,2007,101,both
1140240_rodaberget,2008,134,both
1140240_rodaberget,2009,105,both
1140240_rodaberget,2010,167,both
1140240_rodaberget,2011,99,both
1140240_rodaberget,2012,73,both
1140240_rodaberget,2013,96,both
1140240_rodaberget,2014,94,both
1140250_s_t_eriksplan,2000,5,both
1140250_s_t_eriksplan,2001,32,both
1140250_s_t_eriksplan,2002,0,both
1140250_s_t_eriksplan,2003,-35,both
1140250_s_t_eriksplan,2004,-75,both
1140250_s_t_eriksplan,2005,-60,both
1140250_s_t_eriksplan,2006,-93,both
1140250_s_t_eriksplan,2007,-126,both
1140250_s_t_eriksplan,2008,-156,both
1140250_s_t_eriksplan,2009,-123,both
1140250_s_t_eriksplan,2010,-147,both
1140250_s_t_eriksplan,2011,-158,both
1140250_s_t_eriksplan,2012,-196,both
1140250_s_t_eriksplan,2013,-214,both
1140250_s_t_eriksplan,2014,-245,both
1210110_roslagstull,2000,40,both
1210110_roslagstull,2001,25,both
1210110_roslagstull,2002,9,both
1210110_roslagstull,2003,4,both
1210110_roslagstull,2004,-19,both
1210110_roslagstull,2005,-31,both
1210110_roslagstull,2006,-93,both
1210110_roslagstull,2007,-64,both
1210110_roslagstull,2008,-152,both
1210110_roslagstull,2009,-58,both
1210110_roslagstull,2010,-2,both
1210110_roslagstull,2011,4,both
1210110_roslagstull,2012,-60,both
1210110_roslagstull,2013,-151,both
1210110_roslagstull,2014,-149,both
1210120_larkstaden,2000,-3,both
1210120_larkstaden,2001,-92,both
1210120_larkstaden,2002,-145,both
1210120_larkstaden,2003,-166,both
1210120_larkstaden,2004,-180,both
1210120_larkstaden,2005,-140,both
1210120_larkstaden,2006,-151,both
1210120_larkstaden,2007,-231,both
1210120_larkstaden,2008,-222,both
1210120_larkstaden,2009,-208,both
1210120_larkstaden,2010,-164,both
1210120_larkstaden,2011,-212,both
1210120_larkstaden,2012,-221,both
1210120_larkstaden,2013,-278,both
1210120_larkstaden,2014,-315,both
1210131_danderydsplan_v,2000,-27,both
1210131_danderydsplan_v,2001,-52,both
1210131_danderydsplan_v,2002,-35,both
1210131_danderydsplan_v,2003,3,both
1210131_danderydsplan_v,2004,-16,both
1210131_danderydsplan_v,2005,-17,both
1210131_danderydsplan_v,2006,-55,both
1210131_danderydsplan_v,2007,-77,both
1210131_danderydsplan_v,2008,-50,both
1210131_danderydsplan_v,2009,-69,both
1210131_danderydsplan_v,2010,-79,both
1210131_danderydsplan_v,2011,-99,both
1210131_danderydsplan_v,2012,-121,both
1210131_danderydsplan_v,2013,-94,both
1210131_danderydsplan_v,2014,10,both
1210132_danderydsplan_o,2000,33,both
1210132_danderydsplan_o,2001,60,both
1210132_danderydsplan_o,2002,48,both
1210132_danderydsplan_o,2003,30,both
1210132_danderydsplan_o,2004,64,both
1210132_danderydsplan_o,2005,18,both
1210132_danderydsplan_o,2006,27,both
1210132_danderydsplan_o,2007,33,both
1210132_danderydsplan_o,2008,43,both
1210132_danderydsplan_o,2009,43,both
1210132_danderydsplan_o,2010,21,both
1210132_danderydsplan_o,2011,57,both
1210132_danderydsplan_o,2012,48,both
1210132_danderydsplan_o,2013,40,both
1210132_danderydsplan_o,2014,50,both
1210140_eriksberg,2000,22,both
1210140_eriksberg,2001,11,both
1210140_eriksberg,2002,47,both
1210140_eriksberg,2003,27,both
1210140_eriksberg,2004,14,both
1210140_eriksberg,2005,23,both
1210140_eriksberg,2006,33,both
1210140_eriksberg,2007,-10,both
1210140_eriksberg,2008,30,both
1210140_eriksberg,2009,86,both
1210140_eriksberg,2010,79,both
1210140_eriksberg,2011,60,both
1210140_eriksberg,2012,44,both
1210140_eriksberg,2013,3,both
1210140_eriksberg,2014,6,both
1210151_stureplan_o,2000,-5,both
1210151_stureplan_o,2001,-7,both
1210151_stureplan_o,2002,-14,both
1210151_stureplan_o,2003,-12,both
1210151_stureplan_o,2004,-11,both
1210151_stureplan_o,2005,-24,both
1210151_stureplan_o,2006,-43,both
1210151_stureplan_o,2007,-34,both
1210151_stureplan_o,2008,-34,both
1210151_stureplan_o,2009,-22,both
