basomrade,year,population_20xx_12_31,gender
4210530_vallentuna_glesbygd_no,2014,609,both
4210540_okand,2000,152,both
4210540_okand,2001,160,both
4210540_okand,2002,158,both
4210540_okand,2003,166,both
4210540_okand,2004,171,both
4210540_okand,2005,156,both
4210540_okand,2006,146,both
4210540_okand,2007,133,both
4210540_okand,2008,159,both
4210540_okand,2009,162,both
4220000_markims_forsamling,2000,310,both
4220000_markims_forsamling,2001,306,both
4220000_markims_forsamling,2002,313,both
4220000_markims_forsamling,2003,306,both
4220000_markims_forsamling,2004,311,both
4220000_markims_forsamling,2005,318,both
4220000_markims_forsamling,2006,307,both
4220000_markims_forsamling,2007,292,both
4220000_markims_forsamling,2008,291,both
4220000_markims_forsamling,2009,291,both
4220000_markims_forsamling,2010,292,both
4220000_markims_forsamling,2011,288,both
4220000_markims_forsamling,2012,296,both
4220000_markims_forsamling,2013,296,both
4220000_markims_forsamling,2014,294,both
4230100_lindholmen,2000,782,both
4230100_lindholmen,2001,782,both
4230100_lindholmen,2002,787,both
4230100_lindholmen,2003,789,both
4230100_lindholmen,2004,800,both
4230100_lindholmen,2005,819,both
4230100_lindholmen,2006,831,both
4230100_lindholmen,2007,837,both
4230100_lindholmen,2008,853,both
4230100_lindholmen,2009,862,both
4230100_lindholmen,2010,866,both
4230100_lindholmen,2011,878,both
4230100_lindholmen,2012,902,both
4230100_lindholmen,2013,904,both
4230100_lindholmen,2014,918,both
4230500_okand,2000,300,both
4230500_okand,2001,314,both
4230500_okand,2002,305,both
4230500_okand,2003,314,both
4230500_okand,2004,303,both
4230500_okand,2005,302,both
4230500_okand,2006,294,both
4230500_okand,2007,292,both
4230500_okand,2008,303,both
4230500_okand,2009,306,both
4240000_frosunda_forsamling,2000,582,both
4240000_frosunda_forsamling,2001,570,both
4240000_frosunda_forsamling,2002,577,both
4240000_frosunda_forsamling,2003,608,both
4240000_frosunda_forsamling,2004,612,both
4240000_frosunda_forsamling,2005,619,both
4240000_frosunda_forsamling,2006,609,both
4240000_frosunda_forsamling,2007,629,both
4240000_frosunda_forsamling,2008,648,both
4240000_frosunda_forsamling,2009,646,both
4240000_frosunda_forsamling,2010,652,both
4240000_frosunda_forsamling,2011,644,both
4240000_frosunda_forsamling,2012,659,both
4240000_frosunda_forsamling,2013,690,both
4240000_frosunda_forsamling,2014,707,both
4250100_karsta,2000,415,both
4250100_karsta,2001,407,both
4250100_karsta,2002,398,both
4250100_karsta,2003,402,both
4250100_karsta,2004,395,both
4250100_karsta,2005,402,both
4250100_karsta,2006,407,both
4250100_karsta,2007,404,both
4250100_karsta,2008,409,both
4250100_karsta,2009,424,both
4250100_karsta,2010,425,both
4250100_karsta,2011,444,both
4250100_karsta,2012,462,both
4250100_karsta,2013,450,both
4250100_karsta,2014,443,both
4250200_ekskogen,2000,206,both
4250200_ekskogen,2001,214,both
4250200_ekskogen,2002,211,both
4250200_ekskogen,2003,208,both
4250200_ekskogen,2004,199,both
4250200_ekskogen,2005,194,both
4250200_ekskogen,2006,186,both
4250200_ekskogen,2007,192,both
4250200_ekskogen,2008,185,both
4250200_ekskogen,2009,184,both
4250200_ekskogen,2010,189,both
4250200_ekskogen,2011,185,both
4250200_ekskogen,2012,182,both
4250200_ekskogen,2013,191,both
4250200_ekskogen,2014,188,both
4250500_karsta_glesbygd,2000,587,both
4250500_karsta_glesbygd,2001,617,both
4250500_karsta_glesbygd,2002,617,both
4250500_karsta_glesbygd,2003,637,both
4250500_karsta_glesbygd,2004,638,both
4250500_karsta_glesbygd,2005,648,both
4250500_karsta_glesbygd,2006,687,both
4250500_karsta_glesbygd,2007,702,both
4250500_karsta_glesbygd,2008,722,both
4250500_karsta_glesbygd,2009,724,both
4250500_karsta_glesbygd,2010,727,both
4250500_karsta_glesbygd,2011,739,both
4250500_karsta_glesbygd,2012,734,both
4250500_karsta_glesbygd,2013,746,both
4250500_karsta_glesbygd,2014,766,both
4260500_vada_glesbygd,2000,205,both
4260500_vada_glesbygd,2001,198,both
4260500_vada_glesbygd,2002,201,both
4260500_vada_glesbygd,2003,209,both
4260500_vada_glesbygd,2004,217,both
4260500_vada_glesbygd,2005,230,both
4260500_vada_glesbygd,2006,225,both
4260500_vada_glesbygd,2007,228,both
4260500_vada_glesbygd,2008,222,both
4260500_vada_glesbygd,2009,218,both
